GDG,question_id,included_article_id,included_postfulltext,included_reference,same_study_diff_article,notes,author_1_extract,year_pub_extract,author_year_format,included_article_doi,included_article_pmid,oa_id,ss_id,title_if_unavailable,title,pmid_sent,doi_sent
1.0,1.2,1,16.0,"Sathyapalan T, Al-Qaissi A, Kilpatrick ES, Dargham SR, Adaway J, Keevil B, Atkin SL. Salivary testosterone measurement in women with and without polycystic ovary syndrome. Sci Rep. 2017 Jun 15;7(1):3589. doi: 10.1038/s41598-017-03945-w. PMID: 28620242; PMCID: PMC5472559.",primary_citation,,Sathyapalan T,2017,"Sathyapalan T et al., 2017",10.1038/s41598-017-03945-w,28620242.0,,,,Salivary testosterone measurement in women with and without polycystic ovary syndrome,pmid:28620242,
1.0,1.2,2,16.0,"Bansal, P, Sardana, K, Arora, P, Khurana, A, Garga, UC, Sharma, L. A prospective study of anti-mullerian hormone and other ovarian and adrenal hormones in adult female acne. Dermatologic Therapy. 2020; 33:e13974. https://doi.org/10.1111/dth.13974 ",primary_citation,,Bansal,2020,"Bansal et al., 2020",10.1111/dth.13974,,,,,A prospective study of anti‐mullerian hormone and other ovarian and adrenal hormones in adult female acne,pmid:33185003,10.1111/dth.13974
1.0,1.2,3,16.0,"Imran H. J, Dhaher S. A, Mansour M. A. A. Testosterone or Dehydroepiandrosterone Sulfate as A Biomarker for Hirsutism in Women with Polycystic Ovary Syndrome. Biomed Pharmacol J 2020;13(4). DOI: https://dx.doi.org/10.13005/bpj/2056 ",primary_citation,,Imran H. J,2020,"Imran H. J et al., 2020",10.13005/bpj/2056,,,,,Testosterone or Dehydroepiandrosterone Sulfate as a Biomarker for Hirsutism in Women with Polycystic Ovary Syndrome,,10.13005/bpj/2056
1.0,1.2,4,16.0,"Khashchenko E, Uvarova E, Vysokikh M, Ivanets T, Krechetova L, Tarasova N, Sukhanova I, Mamedova F, Borovikov P, Balashov I, Sukhikh G. The Relevant Hormonal Levels and Diagnostic Features of Polycystic Ovary Syndrome in Adolescents. J Clin Med. 2020 Jun 11;9(6):1831. doi: 10.3390/jcm9061831. PMID: 32545404; PMCID: PMC7355484.",primary_citation,,Khashchenko E,2020,"Khashchenko E et al., 2020",10.3390/jcm9061831,32545404.0,,,,The Relevant Hormonal Levels and Diagnostic Features of Polycystic Ovary Syndrome in Adolescents,pmid:32545404,
1.0,1.2,5,16.0,"Chen, F., Chen, M., Zhang, W. et al. Comparison of the efficacy of different androgens measured by LC-MS/MS in representing hyperandrogenemia and an evaluation of adrenal-origin androgens with a dexamethasone suppression test in patients with PCOS. J Ovarian Res 14, 32 (2021). https://doi.org/10.1186/s13048-021-00781-5 ",primary_citation,,Chen,2021,"Chen et al., 2021",10.1186/s13048-021-00781-5,,,,,Comparison of the efficacy of different androgens measured by LC-MS/MS in representing hyperandrogenemia and an evaluation of adrenal-origin androgens with a dexamethasone suppression test in patients with PCOS,pmid:33583431,10.1186/s13048-021-00781-5
1.0,1.2,6,16.0,"Grassi, G.; Polledri, E.; Fustinoni, S.; Chiodini, I.; Ceriotti, F.; D’Agostino, S.; Filippi, F.; Somigliana, E.; Mantovani, G.; Arosio, M.; et al. Hyperandrogenism by Liquid Chromatography Tandem Mass Spectrometry in PCOS: Focus on Testosterone and Androstenedione. J. Clin.Med.2021,10,119. https://doi.org/10.3390/jcm10010119   ",primary_citation,,Grassi,2021,"Grassi et al., 2021",10.3390/jcm10010119,,,,,Hyperandrogenism by Liquid Chromatography Tandem Mass Spectrometry in PCOS: Focus on Testosterone and Androstenedione,pmid:33396396,10.3390/jcm10010119
1.0,1.2,7,16.0,"Beitl K, Dewailly D, Seemann R, Hager M, Bünker J, Mayrhofer D, Holzer I and Ott J (2022) Polycystic Ovary Syndrome Phenotype D Versus Functional Hypothalamic Amenorrhea With Polycystic Ovarian Morphology: A Retrospective Study About a Frequent Differential Diagnosis. Front. Endocrinol. 13:904706. doi:10.3389/fendo.2022.904706",primary_citation,,Beitl K,2022,"Beitl K et al., 2022",10.3389/fendo.2022.904706,,,,,Polycystic Ovary Syndrome Phenotype D Versus Functional Hypothalamic Amenorrhea With Polycystic Ovarian Morphology: A Retrospective Study About a Frequent Differential Diagnosis,pmid:35721741,10.3389/fendo.2022.904706
1.0,1.2,8,16.0,"Kumar H, Halder A, Sharma M, Jain M, Kalsi AK.Dihydrotestosterone- A Potential Biomarker of Hyperandrogenaemia in Polycystic Ovary Syndrome: A Case-control Study from North IndiaJ Clin of Diagn Res.2022; 16(2):QC09-QC14. https://www.doi.org/10.7860/JCDR/2022/51169.15962 ",primary_citation,,Kumar H,2022,"Kumar H et al., 2022",10.7860/jcdr/2022/51169.15962,,,246715314.0,,Dihydrotestosterone- A Potential Biomarker of Hyperandrogenaemia in Polycystic Ovary Syndrome: A Case-control Study from North India,,10.7860/jcdr/2022/51169.15962
1.0,1.2,9,16.0,"Koskinen, P., T. A. Penttila, et al. (1996). ""Optimal use of hormone determinations in the biochemical diagnosis of the polycystic ovary syndrome."" Fertil Steril. 1996 Mar;65(3):517-22. doi: 10.1016/s0015-0282(16)58146-1",primary_citation,,Koskinen,1996,"Koskinen et al., 1996",10.1016/s0015-0282(16)58146-1,,,21873315.0,,Optimal use of hormone determinations in the biochemical diagnosis of the polycystic ovary syndrome,pmid:8774279,10.1016/s0015-0282(16)58146-1
1.0,1.2,10,16.0,"Escobar‐Morreale, H. F., M. Asuncion, et al. (2001). ""Receiver operating characteristic analysis of the performance of basal serum hormone profiles for the diagnosis of polycystic ovary syndrome in epidemiological studies."" Eur J Endocrinol. 2001 Nov;145(5):619-24. doi:10.1530/eje.0.1450619",primary_citation,,Escobar‐Morreale,2001,"Escobar‐Morreale et al., 2001",10.1530/eje.0.1450619,,,,,Receiver operating characteristic analysis of the performance of basal serum hormone profiles for the diagnosis of polycystic ovary syndrome in epidemiological studies,pmid:11720881,10.1530/eje.0.1450619
